Keywords,Sentiment,app_id
"specific, quill, placement",neutral,572220
"won, stages, spell",neutral,572220
good,positive,572220
"strategy, spells, party",positive,572220
"party, fun",positive,572220
"mad, fun, friends",positive,572220
"short, progression, loops",negative,572220
"underrated, underappreciated, review",negative,572220
"zippy, spell, shark",neutral,572220
"tilted, solo, rngesus",negative,572220
"rating, punishment, fun",neutral,572220
"magic, magequit, locking",positive,572220
"recommding, horrendous, fun",negative,572220
"personal, kyle, gift",neutral,572220
"steam, sales, recommend",positive,572220
"spell, loop, genu",neutral,572220
"players, online, multiplayer",positive,572220
"vedi, positive, good",positive,572220
"tournament, support, party",positive,572220
"tutorial, round, jump",neutral,572220
"short, fun, entertainment",positive,572220
"warlocks, warcraft, style",neutral,572220
"keyboard, fun, enjoyment",positive,572220
None,neutral,572220
cool,positive,572220
"soup, saying, quality",neutral,572220
"twitch, reactive, predictive",negative,572220
"tutorial, trash, mechanics",negative,572220
"disappointment, critique, controls",negative,572220
"pleasure, fun, enjoyment",positive,572220
"pleasant, nice, agreeable",positive,572220
"small, player, party",neutral,572220
"satisfactory, positive, good",positive,572220
"popularity, local, gameplay",positive,572220
"fun, friends",positive,572220
"party, online, master",positive,572220
"sentiment, positive, good",neutral,572220
"wizard, slow, pvp",neutral,572220
None,positive,572220
"start, good",positive,572220
"recommended, party, fun",neutral,572220
"platformers, mouse, layout",negative,572220
"fix, bots",neutral,572220
"okay, exclamation, bad",positive,572220
"variant, supports, local",neutral,572220
"positivity, pleasant, good",positive,572220
"combat, training, test",positive,572220
"recommend, fantastic, developers",neutral,572220
"spells, situations, insane",positive,572220
"wish, super, quill",neutral,572220
"miss, exclamatory, excitement",neutral,572220
"shooting, online, mouse",neutral,572220
tier,positive,572220
"score, rating",neutral,572220
"quirky, fun, friends",positive,572220
"youtubers, streamers, player",positive,572220
good,positive,572220
good,neutral,572220
"opinion, clunkiness, awesome",positive,572220
good,positive,572220
good,neutral,572220
"quality, enjoyment, emotions",neutral,572220
"unlock, reviewing, okay",positive,572220
"social, interaction, good",positive,572220
"social, interaction, group",negative,572220
"unlock, tournaments, op",neutral,572220
"underrated, rating",neutral,572220
"steam, group, fun",positive,572220
"screen, rotation, mouse",neutral,
"janky, good, fun",neutral,
